hospital_id,hospital_name,state,district,empanelled,empanelment_expiry,hospital_type,contact
HOSP-1088,Manipal Hospital Old Airport Road Annex-2,Karnataka,Bengaluru,True,2026-01-28,private,+91-9800000087
HOSP-1089,Manipal Hospital Mangaluru Annex-2,Karnataka,Mangaluru,True,2027-01-28,private,+91-9800000088
HOSP-1090,Manipal Hospital Jaipur Annex-2,Rajasthan,Jaipur,True,2027-07-28,private,+91-9800000089
HOSP-1091,Max Super Speciality Hospital Saket Annex-2,Delhi,South Delhi,True,2028-10-28,private,+91-9800000090
HOSP-1092,Max Super Speciality Hospital Vaishali Annex-2,Uttar Pradesh,Ghaziabad,True,2026-09-28,private,+91-9800000091
HOSP-1093,Max Super Speciality Hospital Dehradun Annex-2,Uttarakhand,Dehradun,True,2027-10-28,private,+91-9800000092
HOSP-1094,Narayana Health City Annex-2,Karnataka,Bengaluru,True,2027-08-28,private,+91-9800000093
HOSP-1095,Narayana Multispeciality Hospital Jaipur Annex-2,Rajasthan,Jaipur,True,2026-10-28,private,+91-9800000094
HOSP-1096,Narayana Superspeciality Hospital Howrah Annex-2,West Bengal,Howrah,True,2026-09-28,private,+91-9800000095
HOSP-1097,Medanta - The Medicity Annex-2,Haryana,Gurugram,True,2027-07-28,private,+91-9800000096
HOSP-1098,Medanta Hospital Lucknow Annex-2,Uttar Pradesh,Lucknow,True,2026-05-28,private,+91-9800000097
HOSP-1099,Christian Medical College (CMC) Vellore Annex-2,Tamil Nadu,Vellore,True,2028-11-28,trust,+91-9800000098
HOSP-1100,Christian Medical College (CMC) Ludhiana Annex-2,Punjab,Ludhiana,True,2028-03-28,trust,+91-9800000099
HOSP-1101,Tata Memorial Hospital Annex-2,Maharashtra,Mumbai,True,2026-01-28,government,+91-9800000100
HOSP-1102,PGIMER Chandigarh Annex-2,Chandigarh,Chandigarh,True,2028-04-28,government,+91-9800000101
HOSP-1103,JIPMER Puducherry Annex-2,Puducherry,Puducherry,True,2026-03-28,government,+91-9800000102
HOSP-1104,Nizam's Institute of Medical Sciences (NIMS) Annex-2,Telangana,Hyderabad,True,2026-06-28,government,+91-9800000103
HOSP-1105,King George's Medical University (KGMU) Annex-2,Uttar Pradesh,Lucknow,True,2027-03-28,government,+91-9800000104
HOSP-1106,Victoria Hospital (BMCRI) Annex-2,Karnataka,Bengaluru,True,2027-04-28,government,+91-9800000105
HOSP-1107,Rajiv Gandhi Government General Hospital Annex-2,Tamil Nadu,Chennai,True,2026-08-28,government,+91-9800000106
HOSP-1108,Sawai Man Singh (SMS) Hospital Annex-2,Rajasthan,Jaipur,True,2027-11-28,government,+91-9800000107
HOSP-1109,KEM Hospital & Seth GS Medical College Annex-2,Maharashtra,Mumbai,True,2026-07-28,government,+91-9800000108
HOSP-1110,Medical College Kolkata Annex-2,West Bengal,Kolkata,True,2028-07-28,government,+91-9800000109
HOSP-1111,Government Medical College Kozhikode Annex-2,Kerala,Kozhikode,True,2028-01-28,government,+91-9800000110
HOSP-1112,Government Medical College Nagpur Annex-2,Maharashtra,Nagpur,True,2028-05-28,government,+91-9800000111
HOSP-1113,Gandhi Hospital Secunderabad Annex-2,Telangana,Hyderabad,True,2027-02-28,government,+91-9800000112
HOSP-1114,Osmania General Hospital Annex-2,Telangana,Hyderabad,True,2026-03-28,government,+91-9800000113
HOSP-1115,Civil Hospital Ahmedabad Annex-2,Gujarat,Ahmedabad,True,2026-10-28,government,+91-9800000114
HOSP-1116,District Headquarters Hospital Mysuru Annex-2,Karnataka,Mysuru,True,2027-01-28,government,+91-9800000115
HOSP-1117,District Government Hospital Madurai Annex-2,Tamil Nadu,Madurai,True,2028-02-28,government,+91-9800000116
HOSP-1118,District Hospital Udaipur Annex-2,Rajasthan,Udaipur,True,2028-04-28,government,+91-9800000117
HOSP-1119,District Hospital Varanasi Annex-2,Uttar Pradesh,Varanasi,True,2028-01-28,government,+91-9800000118
HOSP-1120,District Civil Hospital Thane Annex-2,Maharashtra,Thane,True,2026-05-28,government,+91-9800000119
HOSP-1121,District Headquarters Hospital Malda Annex-2,West Bengal,Malda,True,2027-02-28,government,+91-9800000120
HOSP-1122,District Civil Hospital Surat Annex-2,Gujarat,Surat,True,2026-02-28,government,+91-9800000121
HOSP-1123,General Hospital Ernakulam Annex-2,Kerala,Ernakulam,True,2028-09-28,government,+91-9800000122
HOSP-1124,Indira Gandhi Medical College & Hospital Shimla Annex-2,Himachal Pradesh,Shimla,True,2026-03-28,government,+91-9800000123
HOSP-1125,Gauhati Medical College and Hospital Annex-2,Assam,Guwahati,True,2028-06-28,government,+91-9800000124
HOSP-1126,Rajendra Institute of Medical Sciences (RIMS) Annex-2,Jharkhand,Ranchi,True,2028-01-28,government,+91-9800000125
HOSP-1127,Patna Medical College and Hospital (PMCH) Annex-2,Bihar,Patna,True,2028-01-28,government,+91-9800000126
HOSP-1128,Mahatma Gandhi Memorial Hospital Indore Annex-2,Madhya Pradesh,Indore,True,2026-05-28,government,+91-9800000127
HOSP-1129,Dayanand Medical College and Hospital Annex-2,Punjab,Ludhiana,True,2026-02-28,trust,+91-9800000128
HOSP-1130,SCB Medical College & Hospital Cuttack Annex-2,Odisha,Cuttack,True,2028-10-28,government,+91-9800000129
HOSP-1131,Pt. JNM Medical College Raipur Annex-2,Chhattisgarh,Raipur,True,2028-10-28,government,+91-9800000130
HOSP-1132,Government Medical College Jammu Annex-2,Jammu & Kashmir,Jammu,True,2028-01-28,government,+91-9800000131
HOSP-1133,AIIMS Jodhpur Annex-3,Rajasthan,Jodhpur,True,2028-05-28,government,+91-9800000132
HOSP-1134,AIIMS Bhopal Annex-3,Madhya Pradesh,Bhopal,True,2027-03-28,government,+91-9800000133
HOSP-1135,AIIMS Rishikesh Annex-3,Uttarakhand,Rishikesh,True,2028-02-28,government,+91-9800000134
HOSP-1136,AIIMS Patna Annex-3,Bihar,Patna,True,2026-04-28,government,+91-9800000135
HOSP-1137,AIIMS Bhubaneswar Annex-3,Odisha,Bhubaneswar,True,2026-12-28,government,+91-9800000136
HOSP-1138,AIIMS Raipur Annex-3,Chhattisgarh,Raipur,True,2027-12-28,government,+91-9800000137
HOSP-1139,Apollo Hospitals Hyderabad Annex-3,Telangana,Hyderabad,True,2027-11-28,private,+91-9800000138
HOSP-1140,Apollo Hospitals Ahmedabad Annex-3,Gujarat,Ahmedabad,True,2027-06-28,private,+91-9800000139
HOSP-1141,Apollo Multispeciality Hospitals Kolkata Annex-3,West Bengal,Kolkata,True,2026-10-28,private,+91-9800000140
HOSP-1142,Apollo Hospitals Delhi Annex-3,Delhi,South Delhi,True,2027-05-28,private,+91-9800000141
HOSP-1143,Fortis Hospital Mohali Annex-3,Punjab,Mohali,True,2027-12-28,private,+91-9800000142
HOSP-1144,Fortis Hospital Mulund Annex-3,Maharashtra,Mumbai,True,2026-04-28,private,+91-9800000143
HOSP-1145,Fortis Escorts Heart Institute Annex-3,Delhi,South East Delhi,True,2028-10-28,private,+91-9800000144
HOSP-1146,Fortis Hospital Anandapur Annex-3,West Bengal,Kolkata,True,2028-04-28,private,+91-9800000145
HOSP-1147,Manipal Hospital Old Airport Road Annex-3,Karnataka,Bengaluru,True,2028-04-28,private,+91-9800000146
HOSP-1148,Manipal Hospital Mangaluru Annex-3,Karnataka,Mangaluru,True,2026-08-28,private,+91-9800000147
HOSP-1149,Manipal Hospital Jaipur Annex-3,Rajasthan,Jaipur,True,2028-02-28,private,+91-9800000148
HOSP-1150,Max Super Speciality Hospital Saket Annex-3,Delhi,South Delhi,True,2026-03-28,private,+91-9800000149
