code,description,category
S62.001,Fracture of navicular of right wrist,Injury
S72.001,Fracture of unspecified part of neck of right femur,Injury
S82.001,Fracture of right patella,Injury
T14.9,Injury unspecified,Injury
S09.90,Unspecified injury of head,Injury
S29.9,Unspecified injury of thorax,Injury
N10,Acute pyelonephritis,Genitourinary
N18.9,Chronic kidney disease unspecified,Genitourinary
N20.0,Calculus of kidney,Genitourinary
N20.1,Calculus of ureter,Genitourinary
N30.00,Acute cystitis without haematuria,Genitourinary
N39.0,Urinary tract infection site not specified,Genitourinary
N40.0,Benign prostatic hyperplasia without lower urinary tract symptoms,Genitourinary
N41.0,Acute prostatitis,Genitourinary
R30.0,Dysuria,Genitourinary symptoms
R35.0,Frequency of micturition,Genitourinary symptoms
G40.909,Epilepsy unspecified,Neurological
G43.909,Migraine unspecified,Neurological
G43.1,Migraine with aura,Neurological
G45.9,Transient cerebral ischaemic attack unspecified,Neurological
G47.00,Insomnia unspecified,Neurological
G47.33,Obstructive sleep apnea,Neurological
G62.9,Polyneuropathy unspecified,Neurological
G93.40,Encephalopathy unspecified,Neurological
G30.9,Alzheimer's disease unspecified,Neurological
G20,Parkinson's disease,Neurological
F02.80,Dementia in other diseases classified elsewhere without behavioral disturbance,Neurological
F03.90,Unspecified dementia without behavioral disturbance,Neurological
R51,Headache,Neurological symptoms
R42,Dizziness and giddiness,Neurological symptoms
R55,Syncope and collapse,Neurological symptoms
R20.0,Anaesthesia of skin,Neurological symptoms
L20.9,Atopic dermatitis unspecified,Dermatological
L23.9,Allergic contact dermatitis unspecified,Dermatological
L29.9,Pruritus unspecified,Dermatological
L30.9,Dermatitis unspecified,Dermatological
L40.0,Psoriasis vulgaris,Dermatological
L50.0,Allergic urticaria,Dermatological
L50.9,Urticaria unspecified,Dermatological
B35.1,Tinea unguium,Dermatological
B35.3,Tinea pedis,Dermatological
R21,Rash and other nonspecific skin eruption,Dermatological symptoms
D50.9,Iron deficiency anaemia unspecified,Haematological
D64.9,Anaemia unspecified,Haematological
D69.6,Thrombocytopenia unspecified,Haematological
R71.0,Precipitous drop in haematocrit,Haematological symptoms
R50.9,Fever unspecified,General symptoms
R53.83,Other fatigue,General symptoms
R53.1,Weakness,General symptoms
R63.0,Anorexia,General symptoms
R60.0,Localised oedema,General symptoms
R68.89,Other specified general symptoms and signs,General symptoms
Z00.0,Encounter for general examination without complaint,Administrative
Z00.00,Encounter for general adult medical examination without abnormal findings,Administrative
Z13.88,Encounter for screening for disorder due to exposure to contaminants,Administrative
Z51.11,Encounter for antineoplastic chemotherapy,Administrative
